Saliency,Classifier,Extractor,Concept Presence,Classes,Wall,Window,Roof,Facade,Tree,Vegetation,Rock,Ice,Mountain Peak,Boat,Beach,Water,Sky,Sidewalk,Streetlights,Car,WOE Score
lime,vgg,groundingdino,casp,mountain,-0.7676990700947552,-0.0147586968085209,0.346955362742221,-0.5602429032313605,0.1695201517447619,0.9000487627344528,0.6648733517004091,1.1194538578493836,1.1270553799974656,-0.3907609297697694,0.1278588306826873,0.1328752296956199,0.6502861616103628,-0.4594872444624247,-0.7585688859291704,-1.17036806660239,4.386963023272582
lime,vgg,groundingdino,casp,sea,0.5932751436298811,-0.3958516314876665,0.0486071801314627,-0.8517959974618892,-0.7494588118967198,-0.1820488286103767,0.932937005726724,-0.8099431734876563,0.2682194823662012,2.919774146937037,0.8641849127025846,1.764514395155646,0.6862526992592886,0.4286224399994163,-0.3725390260663244,-1.533185226464456,8.898690925903972
lime,vgg,groundingdino,casp,street,1.058805391465418,0.963350999890486,0.5039436734219442,0.8644568183957619,1.3958065178417427,-0.0822479728426879,-0.0264711443022598,-7.487300246742247,-1.2645077410849153,-1.527085195630026,0.7852132452452849,-4.056985705194061,0.1800942382720669,0.8991269590726256,1.6894410108790874,2.9256949365400926,18.031724793968824
lime,vgg,groundingdino,iou,buildings,-0.4158697043663628,-2.0013355031574465,-0.1892656133983403,1.56426614158565,-0.4720997520217096,-1.800384764359108,-2.22308040885555,-8.71167478218336,-1.981282043190972,-0.4000339543567655,-1.264256488262476,-2.723141775981647,-0.6589885280145364,-1.7067232698000232,4.956899680974787,-0.2284054496844698,7.15803966738692
lime,vgg,groundingdino,iou,forest,-2.7450901089939443,-0.9275593564464972,-0.9020253128216376,-2.363811557848892,0.6247246375535026,1.5037128618220257,-2.832303532808313,-8.426319099101674,-3.811571918215237,-7.096624391807387,-0.8455794094419056,-2.9153230317236374,-1.467806764056513,-0.6980002246038688,-3.982403002128821,-6.957009034409701,18.928664335222024
lime,vgg,groundingdino,iou,glacier,0.7321598254633032,0.72469234018853,0.2725221546680227,-1.3487859902458614,-0.7908805730121486,-0.7243438840831085,1.201364549271978,2.538828884142566,1.2369453478004182,-0.3803979870557661,-0.1636729241074022,0.7012880267794067,-0.1215010616457421,0.7160534161581377,-3.909581001772594,-6.884187034053474,14.139938252926846
lime,vgg,groundingdino,iou,mountain,-0.0255731128068814,1.18146311869284,0.5735507954519676,-1.0118513896026986,-0.1894989041582944,0.7255722001706495,1.3164850276923952,0.5624545667007501,1.6056754470485788,-0.05912817015259,0.2766310224907631,0.5848433803238862,0.7981657882885502,-0.8789599776198949,-3.588311184869418,-6.562917217150298,7.788704180132486
lime,vgg,groundingdino,iou,sea,0.3488216908827295,0.4758433434642704,0.1940905733629656,-1.583662264793749,-0.1810321859102508,-0.8302629291245918,0.0511392048774606,-1.1856089020963192,-0.7007979415615,1.5824403856565097,1.0844241328625746,1.5870325560266174,0.890045955035222,0.5387579832951379,-3.5798444666213745,-6.554450498902254,12.526276633194609
lime,vgg,groundingdino,iou,street,0.5303579504500198,-1.978475070878738,-0.1540923552523216,0.8646720888542614,0.68385700785846,-1.5345132989563832,-2.0632555884138477,-7.842224304026937,-2.819775772953524,0.1308748076627437,0.4949838239335282,-3.949046488881125,-0.0947383828200054,0.9610621588527792,-3.398308207054084,3.408586616898611,17.22505233782986
rise,resnet,florence,cas,buildings,0.3475093515253147,0.8789784104551066,0.6774373543113323,-0.8187476228592099,0.0729829836449491,-0.0129697615686381,-2.8119057645428365,-2.33241325759919,-1.2733241943861795,-0.2427444520147899,-0.9772127470888974,-0.9798039340697756,-0.3043968208707535,-0.1862501530297535,0.2889809410726256,0.0503930049390841,5.3200855695591
rise,resnet,florence,cas,forest,-1.8547825926143808,-11.796673991491936,-3.798080669575274,-0.1060115212938408,0.1034952805694373,-0.6075937592375231,-1.6261499182213646,-2.866723574711779,-4.97779060782097,-2.1807679405977485,-0.6536504078680463,-1.881069360111696,-1.8580988229401632,-0.7338439487813462,-2.0669391714375727,-10.765994305759316,4.54007680631566
rise,resnet,florence,cas,glacier,-0.4034409960063341,-3.239628042225378,-1.6835468362381825,0.0913296865252364,-1.305572469013339,-0.8774754553819029,0.9192538883342718,1.0747623327198608,0.6694446118983367,-0.3920609382749469,0.0563812042243707,0.3525677628842372,0.0838394316265387,-1.251314619554608,-2.008697341029324,-3.399393801034614,9.169493630982792
rise,resnet,florence,cas,mountain,-0.4216728549767612,-2.2455310249021263,-1.4865960483595235,0.256534827945952,0.4073914505271878,0.0124297795170507,0.5167456756344455,0.3528353605595105,1.304339338827698,-0.1700861039714094,-0.1461312755571355,0.2455062873486584,0.5720856573064534,-1.11648510927183,-1.0955065443415284,-3.4890170774578038,2.897912596018188
rise,resnet,florence,cas,sea,-0.0965645034373487,-3.154486737024563,-0.6178587938805555,0.1426104152571865,-1.2230730905617104,-0.2600521923054053,1.045168124991088,1.0830647842869328,0.253146718295357,0.6739538898078867,0.7146897614636678,1.0361178175177357,0.3023410509021009,-0.5613251704816746,0.0376327657917183,-3.460071953604683,6.888507950052526
rise,resnet,florence,cas,street,1.2067881067244537,2.265074803168847,1.9072757598444152,0.3748813682018315,0.900861062790712,1.2196106795180826,-1.954343361539337,-1.7760056404897318,-1.0793728396397138,1.0332010701944203,0.6423754343801715,-0.0485884206798916,0.4087218252804931,2.0004601688608146,1.841490250292981,3.131189240334015,9.90734777088052
rise,resnet,florence,casp,buildings,0.1437172698450586,0.6974762349680125,0.3207119624041046,-0.758987912957142,-0.0926418597396898,1.087197646911003,-8.681942443307594,-2.1781533963098845,-1.3741928249463071,-0.6042160249157134,-0.5698573012963013,-0.5614872175307108,-0.4996508525914631,-0.2065074049113175,-0.1448748647167133,-0.4698114225965193,4.7661910300879
